iter	Passed	Remaining
767	2320	700
768	2323	697
769	2327	695
770	2329	691
771	2332	688
772	2334	685
773	2336	682
774	2337	678
775	2340	675
776	2343	672
777	2345	669
778	2347	665
779	2349	662
780	2351	659
781	2354	656
782	2358	653
783	2360	650
784	2362	647
785	2365	643
786	2368	641
787	2372	638
788	2375	635
789	2377	632
790	2380	628
791	2382	625
792	2384	622
793	2387	619
794	2389	616
795	2391	612
796	2393	609
797	2394	606
798	2398	603
799	2400	600
800	2401	596
801	2402	593
802	2404	589
803	2405	586
804	2407	583
805	2408	579
806	2410	576
807	2413	573
808	2414	570
809	2417	567
810	2419	563
811	2422	560
812	2427	558
813	2430	555
814	2432	552
815	2433	548
816	2436	545
817	2438	542
818	2441	539
819	2443	536
820	2446	533
821	2448	530
822	2449	526
823	2451	523
824	2454	520
825	2456	517
826	2458	514
827	2460	511
828	2461	507
829	2464	504
830	2465	501
831	2469	498
832	2472	495
833	2473	492
834	2475	489
835	2477	486
836	2481	483
837	2484	480
838	2487	477
839	2489	474
840	2491	471
841	2493	467
842	2496	464
843	2498	461
844	2500	458
845	2502	455
846	2504	452
847	2506	449
848	2511	446
849	2513	443
850	2515	440
851	2517	437
852	2519	434
853	2520	430
854	2524	428
855	2527	425
856	2529	422
857	2531	419
858	2533	415
859	2536	412
860	2539	410
861	2542	407
862	2544	403
863	2546	400
864	2550	398
865	2556	395
866	2559	392
867	2561	389
868	2563	386
869	2566	383
870	2569	380
871	2571	377
872	2573	374
873	2578	371
874	2584	369
875	2586	366
876	2588	363
877	2591	360
878	2593	357
879	2597	354
880	2599	351
881	2602	348
882	2604	345
883	2606	342
884	2609	339
885	2613	336
886	2615	333
887	2617	330
888	2619	327
889	2621	323
890	2624	321
891	2627	318
892	2629	315
893	2631	312
894	2633	308
895	2636	306
896	2639	303
897	2641	300
898	2642	296
899	2644	293
900	2645	290
901	2647	287
902	2648	284
903	2650	281
904	2652	278
905	2654	275
906	2656	272
907	2657	269
908	2659	266
909	2660	263
910	2662	260
911	2663	256
912	2665	253
913	2667	250
914	2668	247
915	2670	244
916	2672	241
917	2674	238
918	2675	235
919	2678	232
920	2681	230
921	2683	226
922	2685	223
923	2686	220
924	2689	218
925	2691	215
926	2696	212
927	2698	209
928	2701	206
929	2703	203
930	2704	200
931	2706	197
932	2709	194
933	2715	191
934	2718	188
935	2722	186
936	2725	183
937	2727	180
938	2730	177
939	2732	174
940	2734	171
941	2740	168
942	2743	165
943	2745	162
944	2747	159
945	2751	157
946	2754	154
947	2755	151
948	2757	148
949	2759	145
950	2761	142
951	2767	139
952	2770	136
953	2772	133
954	2774	130
955	2776	127
956	2778	124
957	2782	121
958	2785	119
959	2786	116
960	2789	113
961	2792	110
962	2795	107
963	2797	104
964	2799	101
965	2802	98
966	2803	95
967	2805	92
968	2807	89
969	2809	86
970	2811	83
971	2813	81
972	2815	78
973	2817	75
974	2819	72
975	2824	69
976	2827	66
977	2829	63
978	2830	60
979	2832	57
980	2834	54
981	2837	52
982	2839	49
983	2841	46
984	2843	43
985	2845	40
986	2847	37
987	2849	34
988	2852	31
989	2854	28
990	2855	25
991	2857	23
992	2858	20
993	2860	17
994	2862	14
995	2865	11
996	2866	8
997	2868	5
998	2870	2
999	2871	0
